Album;Year;Genre I;Genre II;Rating
Weezer - Weezer (The White Album);2016;Rock;;8 / 10
Angel Olsen - My Woman;2016;Rock;;8 / 10
The Drones - Feelin Kinda Free;2016;Rock;;8 / 10
Radiohead - A Moon Shaped Pool;2016;Rock;;8 / 10
The I.L.Y's - Scum with Boundaries;2016;Rock;;8 / 10
Death from Above - Outrage! Is Now;2017;Rock;;8 / 10
Algiers - The Underside of Power;2017;Rock;;8 / 10
Oh Sees - Orc;2017;Rock;;8 / 10
Protomartyr - Relatives in Descent;2017;Rock;;8 / 10
King Gizzard and the Lizard Wizard - Flying Microtonal Banana;2017;Rock;;8 / 10
Oxbow - Thin Black Duke;2017;Rock;;8 / 10
Andrew W.K. - You're Not Alone;2018;Rock;;8 / 10
Car Seat Headrest - Twin Fantasy (Face to Face);2018;Rock;;8 / 10
The Voidz - Virtue;2018;Rock;;8 / 10
Hop Along - Bark Your Head Off, Dog;2018;Rock;;8 / 10
Tropical Fuck Storm - A Laughing Death in Meatspace;2018;Rock;;8 / 10
Screaming Females - All at Once;2018;Rock;;8 / 10
Loma Prieta - Self Portrait;2015;Rock;;7 / 10
Beach Slang - The Things We Do to Find People Who Feel Like Us;2015;Rock;;7 / 10
Dope Body - Kunk;2015;Rock;;7 / 10
Car Seat Headrest - Teens of Style;2015;Rock;;7 / 10
Protomartyr - The Agent Intellect;2015;Rock;;7 / 10
King Gizzard & the Lizard Wizard - Paper Mache Dream Balloon;2015;Rock;;7 / 10
The World Is a Beautiful Place & I Am No Longer Afraid to Die - Harmlessness;2015;Rock;;7 / 10
Modern Baseball - Holy Ghost;2016;Rock;;7 / 10
Deerhoof - The Magic;2016;Rock;;7 / 10
PJ Harvey - The Hope Six Demolition Project;2016;Rock;;7 / 10
Marching Church - Telling It Like It Is;2016;Rock;;7 / 10
Black Mountain - IV;2016;Rock;;7 / 10
Nevermen - Self-Titled;2016;Rock;;7 / 10
Woods - City Sun Eater in the River of Light;2016;Rock;;7 / 10
Iggy Pop - Post Pop Depression;2016;Rock;;7 / 10
Remo Drive - Greatest Hits;2017;Rock;;7 / 10
King Gizzard & The Lizard Wizard - Gumboot Soup;2017;Rock;;7 / 10
The National - Sleep Well Beast;2017;Rock;;7 / 10
King Gizzard & The Lizard Wizard - Polygondwanaland;2017;Rock;;7 / 10
Broken Social Scene - Hug of Thunder;2017;Rock;;7 / 10
Pissed Jeans - Why Love Now;2017;Rock;;7 / 10
Yucky Duster - Duster's Lament;2017;Rock;;7 / 10
Brand New - Science Fiction;2017;Rock;;7 / 10
Black Lips - Satan's Graffiti or God's Art?;2017;Rock;;7 / 10
Roger Waters - Is This the Life We Really Want?;2017;Rock;;7 / 10
Spoon - Hot Thoughts;2017;Rock;;7 / 10
No Age - Snares Like a Haircut;2018;Rock;;7 / 10
Nine Inch Nails - Bad Witch;2018;Rock;;7 / 10
Ty Segall - Freedom's Goblin;2018;Rock;;7 / 10
Iceage - Beyondless;2018;Rock;;7 / 10
Alex G - Beach Music;2015;Rock;;6 / 10
The Front Bottoms - Back on Top;2015;Rock;;6 / 10
Battles - La Di Da Di;2015;Rock;;6 / 10
Grave Babies - Holographic Violence;2015;Rock;;6 / 10
The Libertines - Anthems for Doomed Youth;2015;Rock;;6 / 10
Kurt Vile - B'lieve I'm Goin Down...;2015;Rock;;6 / 10
Savages - Adore Life;2016;Rock;;6 / 10
Bloc Party - Hymns;2016;Rock;;6 / 10
Wilco - Schmilco;2016;Rock;;6 / 10
The Wytches - All Your Happy Life;2016;Rock;;6 / 10
Cage the Elephant - Tell Me I'm Pretty;2016;Rock;;6 / 10
PUP - The Dream Is Over;2016;Rock;;6 / 10
Hinds - Leave Me Alone;2016;Rock;;6 / 10
DIIV - Is the Is Are;2016;Rock;;6 / 10
Grizzly Bear - Painted Ruins;2017;Rock;;6 / 10
The Killers - Wonderful Wonderful;2017;Rock;;6 / 10
The World Is a Beautiful Place... - Always Foreign;2017;Rock;;6 / 10
Liam Gallagher - As You Were;2017;Rock;;6 / 10
Nine Inch Nails - Add Violence;2017;Rock;;6 / 10
Foo Fighters - Concrete and Gold;2017;Rock;;6 / 10
Ty Segall - Self-Titled;2017;Rock;;6 / 10
King Gizzard and the Lizard Wizard - Murder of the Universe;2017;Rock;;6 / 10
Glassjaw - Material Control;2017;Rock;;6 / 10
The Smith Street Band - More Scared of You Than You Are of Me;2017;Rock;;6 / 10
Queens of the Stone Age - Villains;2017;Rock;;6 / 10
Sleaford Mods - English Tapas;2017;Rock;Hip-Hop;6 / 10
Ought - Room Inside the World;2018;Rock;;6 / 10
Jeff Rosenstock - Post-;2018;Rock;;6 / 10
Big Ups - Two Parts Together;2018;Rock;;6 / 10
Courtney Barnett - Tell Me How You Really Feel;2018;Rock;;6 / 10
The Garden - Haha;2015;Rock;;5 / 10
Foals - What Went Down;2015;Rock;;5 / 10
The Wonder Years - No Closer to Heaven;2015;Rock;;5 / 10
Descendents - Hypercaffium Spazzinate;2016;Rock;;5 / 10
American Football - Self-Titled (LP 2);2016;Rock;;5 / 10
Red Hot Chili Peppers - The Getaway;2016;Rock;;5 / 10
AJJ - The Bible 2;2016;Rock;;5 / 10
King Gizzard & The Lizard Wizard w/ Mild High Club - Sketches of Brunswick East;2017;Rock;;5 / 10
Timber Timbre - Sincerely, Future Pollution;2017;Rock;;5 / 10
The War on Drugs - A Deeper Understanding;2017;Rock;;5 / 10
"Godspeed You! Black Emperor - ""Luciferian Towers""";2017;Rock;;5 / 10
A Perfect Circle - Eat the Elephant;2018;Rock;;5 / 10
Titus Andronicus - A Productive Cough;2018;Rock;;5 / 10
Arctic Monkeys - Tranquility Base Hotel + Casino;2018;Rock;;5 / 10
Preoccupations - New Material;2018;Rock;;5 / 10
Wavves - V;2015;Rock;;4 / 10
FIDLAR - Too;2015;Rock;;4 / 10
Explosions in the Sky - The Wilderness;2016;Rock;;4 / 10
Beck - Colors;2017;Rock;;4 / 10
Tiny Moving Parts - Swell;2018;Rock;;4 / 10
Foxing - Dealer;2015;Rock;;3 / 10
The Strokes - Future Present Past;2016;Rock;;3 / 10
Green Day - Revolution Radio;2016;Rock;;3 / 10
Daughter - Not to Disappear;2016;Rock;;3 / 10
Kid Cudi - Speedin' Bullet 2 Heaven;2015;Rock;;0 / 10
Chelsea Wolfe - Abyss;2015;Rock;;
"Radiohead - ""Burn the Witch""";2016;Rock;;
Blink-182 - California;2016;Rock;;
Skillet - Unleashed;2016;Rock;;
Remo Drive - Pop Music;2018;Rock;;
Emperor - In the Nightside Eclipse;2017;;;Classic
Ghost - Meliora;2015;;;9 / 10
Mount Eerie - A Crow Looked at Me;2017;;;9 / 10
Father John Misty - Pure Comedy;2017;;;9 / 10
Cattle Decapitation - The Anthropocene Extinction;2015;;;8 / 10
Baroness - Purple;2015;;;8 / 10
Panopticon - Autumn Eternal;2015;;;8 / 10
Nails - You Will Never Be One of Us;2016;;;8 / 10
Neurosis - Fires Within Fires;2016;;;8 / 10
Vektor - Terminal Redux;2016;;;8 / 10
Marissa Nadler - Strangers;2016;;;8 / 10
Gorguts - Pleiades' Dust;2016;;;8 / 10
Conor Oberst - Ruminations;2016;;;8 / 10
Pop. 1280 - Paradise;2016;;;8 / 10
Moonsorrow - Jumalten Aika;2016;;;8 / 10
Touche Amore - Stage Four;2016;;;8 / 10
Pallbearer - Heartless;2017;;;8 / 10
Feist - Pleasure;2017;;;8 / 10
Primitive Man - Caustic;2017;;;8 / 10
Idles - Brutalism;2017;;;8 / 10
Converge - The Dusk in Us;2017;;;8 / 10
Rosalia - Los Angeles;2017;;;8 / 10
Code Orange - Forever;2017;;;8 / 10
Elder - Reflections of a Floating World;2017;;;8 / 10
Dying Fetus - Wrong One to Fuck With;2017;;;8 / 10
Richard Dawson - Peasant;2017;;;8 / 10
Judas Priest - Firepower;2018;;;8 / 10
Ghost - Prequelle;2018;;;8 / 10
Sleep - The Sciences;2018;;;8 / 10
Kylesa - Exhausting Fire;2015;;;7 / 10
The Body and Full of Hell - One Day You Will Ache Like I Ache;2016;;;7 / 10
Oranssi Pazuzu - Varahtelija;2016;;;7 / 10
Krallice - Hyperion EP;2016;;;7 / 10
Wormrot - Voices;2016;;;7 / 10
The Dillinger Escape Plan - Dissociation;2016;;;7 / 10
Childish Gambino - Awaken, My Love!;2016;;;7 / 10
Power Trip - Nightmare Logic;2017;;;7 / 10
Integrity - Howling, for the Nightmare Shall Consume;2017;;;7 / 10
Ondatropica - Baile Bucanero;2017;;;7 / 10
Havok - Conformicide;2017;;;7 / 10
Jesca Hoop - Memories Are Now;2017;;;7 / 10
Colin Stetson - All This I Do for Glory;2017;;;7 / 10
Julien Baker - Turn Out the Lights;2017;;;7 / 10
Igorrr - Savage Sinusoid;2017;;;7 / 10
William Basinski - A Shadow in Time;2017;;;7 / 10
Dead Cross - Self-Titled;2017;;;7 / 10
Keiji Haino + SUMAC - American Dollar Bill;2018;;;7 / 10
Mount Eerie - Now Only;2018;;;7 / 10
LUMP - LUMP;2018;;;7 / 10
Tribulation - Down Below;2018;;;7 / 10
Iron Maiden - The Book of Souls;2015;;;6 / 10
Revenge - Behold.Total.Rejection;2015;;;6 / 10
Sunn O))) - Kannon;2015;;;6 / 10
Myrkur - M;2015;;;6 / 10
Deafheaven - New Bermuda;2015;;;6 / 10
Black Breath - Slaves Beyond Death;2015;;;6 / 10
Krallice - Ygg Huur;2015;;;6 / 10
Kvelertak - Nattesferd;2016;;;6 / 10
Metallica - Hardwired...To Self-Destruct;2016;;;6 / 10
Babymetal - Metal Resistance;2016;;;6 / 10
Iron Reagan - Crossover Ministry;2017;;;6 / 10
Full of Hell - Trumpeting Ecstasy;2017;;;6 / 10
Myrkur - Mareridt;2017;;;6 / 10
Wolves in the Throne Room - Thrice Woven;2017;;;6 / 10
Thundercat - Drunk;2017;;;6 / 10
Vein - Errorzone;2018;;;6 / 10
(Sandy) Alex G - Rocket;2017;;;5 / 10
Marilyn Manson - Heaven Upside Down;2017;;;5 / 10
Liars - TFCF;2017;;;5 / 10
Turnstile - Time & Space;2018;;;5 / 10
Oathbreaker - Rheia;2016;;;4 / 10
Korn - The Serenity of Suffering;2016;;;4 / 10
Megadeth - Dystopia;2016;;;4 / 10
Deftones - Gore;2016;;;4 / 10
Mastodon - Emperor of Sand;2017;;;4 / 10
Panopticon - The Scars of Man on the Once Nameless Wilderness;2018;;;4 / 10
Twitching Tongues - Disharmony;2015;;;3 / 10
Meshuggah - The Violent Sleep of Reason__-;2016;;;
Godsmack - When Legends Rise__-;2018;;;
Ruin - Plague Transmissions Vol. 1__-;2018;;;
Natalia Lafourcade - Musas Vol. 2__-;2018;;;
